order_id,courier_id,zone_id,date_id,delivery_date,scheduled_hour,distance_km,sla_target_minutes,actual_time_minutes,delivery_status,failure_reason_id,attempt_number,sla_breached
ORD-00001,32,2,715,2025-12-15,20,4.11,75,20,Delivered,,1,False
ORD-00002,9,11,584,2025-08-06,13,21.19,75,263,Delivered,,2,True
ORD-00003,14,9,698,2025-11-28,16,9.65,90,42,Delivered,,1,False
ORD-00004,20,7,674,2025-11-04,20,6.31,90,26,Delivered,,1,False
ORD-00005,34,8,450,2025-03-25,10,12.81,90,59,Delivered,,2,False
ORD-00006,38,4,689,2025-11-19,8,20.95,75,89,Delivered,,1,True
ORD-00007,15,2,77,2024-03-17,18,21.3,75,78,Delivered,,1,True
ORD-00008,33,4,158,2024-06-06,11,11.36,75,55,Delivered,,1,False
ORD-00009,9,12,40,2024-02-09,19,10.71,75,81,Delivered,,1,True
ORD-00010,16,8,257,2024-09-13,17,10.43,90,35,Delivered,,1,False
ORD-00011,28,6,305,2024-10-31,12,16.52,90,155,Delivered,,1,True
ORD-00012,4,11,216,2024-08-03,15,18.58,75,144,Delivered,,2,True
ORD-00013,7,4,625,2025-09-16,10,13.5,75,84,Delivered,,1,True
ORD-00014,28,3,281,2024-10-07,11,11.46,75,64,Delivered,,1,False
ORD-00015,5,8,223,2024-08-10,17,4.41,90,15,Delivered,,1,False
ORD-00016,4,11,404,2025-02-07,20,3.66,75,45,Failed,3.0,2,
ORD-00017,16,3,116,2024-04-25,12,20.99,75,105,Delivered,,1,True
ORD-00018,26,1,605,2025-08-27,10,2.57,75,24,Delivered,,1,False
ORD-00019,17,8,66,2024-03-06,11,19.18,90,78,Delivered,,1,False
ORD-00020,36,11,724,2025-12-24,16,13.51,75,133,Delivered,,1,True
ORD-00021,14,1,583,2025-08-05,14,12.41,75,120,Delivered,,2,True
ORD-00022,31,9,161,2024-06-09,18,5.42,90,21,Delivered,,1,False
ORD-00023,33,2,5,2024-01-05,17,13.49,75,104,Delivered,,1,True
ORD-00024,16,7,615,2025-09-06,10,21.76,90,49,Delivered,,1,False
ORD-00025,38,10,533,2025-06-16,8,2.47,90,18,Delivered,,1,False
ORD-00026,38,10,549,2025-07-02,13,13.89,90,69,Delivered,,1,False
ORD-00027,21,4,582,2025-08-04,11,11.64,75,73,Delivered,,1,False
ORD-00028,20,8,66,2024-03-06,11,17.29,90,92,Delivered,,1,True
ORD-00029,1,8,282,2024-10-08,14,7.76,90,43,Delivered,,1,False
ORD-00030,5,9,98,2024-04-07,10,15.1,90,59,Delivered,,2,False
ORD-00031,16,6,652,2025-10-13,11,16.49,90,77,Delivered,,1,False
ORD-00032,20,10,469,2025-04-13,20,5.02,90,34,Delivered,,1,False
ORD-00033,1,11,261,2024-09-17,17,7.44,75,71,Delivered,,1,False
ORD-00034,7,3,57,2024-02-26,11,3.92,75,27,Failed,2.0,1,
ORD-00035,18,5,246,2024-09-02,14,1.5,75,15,Delivered,,1,False
ORD-00036,17,9,257,2024-09-13,13,20.64,90,127,Delivered,,1,True
